timestamp,date,service,environment,region,metric_name,metric_value,unit,labels,source_csv
2025-02-14T00:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,185,ms,,metrics_2025-02-14.csv
2025-02-14T00:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.2,%,,metrics_2025-02-14.csv
2025-02-14T00:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,220,ms,,metrics_2025-02-14.csv
2025-02-14T00:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.5,%,,metrics_2025-02-14.csv
2025-02-14T00:00:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,95,ms,,metrics_2025-02-14.csv
2025-02-14T00:00:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.1,%,,metrics_2025-02-14.csv
2025-02-14T00:15:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,192,ms,,metrics_2025-02-14.csv
2025-02-14T00:15:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.18,%,,metrics_2025-02-14.csv
2025-02-14T00:15:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,205,ms,,metrics_2025-02-14.csv
2025-02-14T00:15:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.4,%,,metrics_2025-02-14.csv
2025-02-14T00:15:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,88,ms,,metrics_2025-02-14.csv
2025-02-14T00:15:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.12,%,,metrics_2025-02-14.csv
2025-02-14T00:30:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,178,ms,,metrics_2025-02-14.csv
2025-02-14T00:30:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.22,%,,metrics_2025-02-14.csv
2025-02-14T00:30:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,198,ms,,metrics_2025-02-14.csv
2025-02-14T00:30:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.35,%,,metrics_2025-02-14.csv
2025-02-14T00:30:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,102,ms,,metrics_2025-02-14.csv
2025-02-14T00:30:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.08,%,,metrics_2025-02-14.csv
2025-02-14T00:45:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,190,ms,,metrics_2025-02-14.csv
2025-02-14T00:45:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.2,%,,metrics_2025-02-14.csv
2025-02-14T00:45:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,215,ms,,metrics_2025-02-14.csv
2025-02-14T00:45:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.45,%,,metrics_2025-02-14.csv
2025-02-14T00:45:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,92,ms,,metrics_2025-02-14.csv
2025-02-14T00:45:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.15,%,,metrics_2025-02-14.csv
2025-02-14T01:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,188,ms,,metrics_2025-02-14.csv
2025-02-14T01:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.19,%,,metrics_2025-02-14.csv
2025-02-14T01:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,208,ms,,metrics_2025-02-14.csv
2025-02-14T01:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.42,%,,metrics_2025-02-14.csv
2025-02-14T01:00:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,98,ms,,metrics_2025-02-14.csv
2025-02-14T01:00:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.11,%,,metrics_2025-02-14.csv
2025-02-14T06:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,195,ms,,metrics_2025-02-14.csv
2025-02-14T06:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.21,%,,metrics_2025-02-14.csv
2025-02-14T06:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,225,ms,,metrics_2025-02-14.csv
2025-02-14T06:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.55,%,,metrics_2025-02-14.csv
